prob ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
0.05 ; 3.2 ; 0 ; 9.75e-06 ; 7.9e-06 ; 1.765e-05 ; 2.65
0.1 ; 6.4 ; 0 ; 1.75e-05 ; 1.18e-05 ; 2.93e-05 ; 4.65
0.15 ; 9.6 ; 0 ; 2.06e-05 ; 2.185e-05 ; 4.245e-05 ; 7.45
0.2 ; 12.8 ; 0 ; 3.435e-05 ; 2.795e-05 ; 6.23e-05 ; 8.7
0.25 ; 16 ; 0 ; 4.845e-05 ; 5.25e-05 ; 0.00010095 ; 10.8
0.3 ; 19.2 ; 0 ; 8.95e-05 ; 7.955e-05 ; 0.00016905 ; 10.95
0.35 ; 22.4 ; 0 ; 0.0001549 ; 0.00016205 ; 0.00031695 ; 12.45
0.4 ; 25.6 ; 0 ; 0.0001231 ; 0.0001012 ; 0.0002243 ; 12.1
0.45 ; 28.8 ; 0 ; 0.00043475 ; 0.0003962 ; 0.00083095 ; 13.3
0.5 ; 32 ; 0 ; 0.00023595 ; 0.0001752 ; 0.00041115 ; 14.2
0.55 ; 35.2 ; 0 ; 0.0002225 ; 0.00021375 ; 0.00043625 ; 13.7
0.6 ; 38.4 ; 0 ; 0.0002974 ; 0.00024865 ; 0.00054605 ; 14.1
0.65 ; 41.6 ; 0 ; 0.0004172 ; 0.00025845 ; 0.00067565 ; 13.95
0.7 ; 44.8 ; 0 ; 0.00052655 ; 0.0007527 ; 0.00127925 ; 12.6
0.75 ; 48 ; 0 ; 0.0006727 ; 0.0004216 ; 0.0010943 ; 12.4
0.8 ; 51.2 ; 0 ; 0.00077495 ; 0.0008258 ; 0.00160075 ; 11.75
0.85 ; 54.4 ; 0 ; 0.00104625 ; 0.00082115 ; 0.0018674 ; 10.35
0.9 ; 57.6 ; 0 ; 0.00142305 ; 0.00077395 ; 0.002197 ; 8.65
0.95 ; 60.8 ; 0 ; 0.00211695 ; 0.0004797 ; 0.00259665 ; 6.75
1 ; 64 ; 0 ; 0.00303435 ; 4.76e-05 ; 0.00308195 ; 1
