prob ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
0,05 ; 3,2 ; 0 ; 9,75e-06 ; 7,15e-06 ; 1,69e-05 ; 2,65
0,1 ; 6,4 ; 0 ; 1,49e-05 ; 1,14e-05 ; 2,63e-05 ; 4,65
0,15 ; 9,6 ; 0 ; 2,045e-05 ; 2,115e-05 ; 4,16e-05 ; 7,45
0,2 ; 12,8 ; 0 ; 3,59e-05 ; 2,83e-05 ; 6,42e-05 ; 8,7
0,25 ; 16 ; 0 ; 4,455e-05 ; 4,585e-05 ; 9,04e-05 ; 10,8
0,3 ; 19,2 ; 0 ; 7,01e-05 ; 6,955e-05 ; 0,00013965 ; 10,95
0,35 ; 22,4 ; 0 ; 0,00013055 ; 0,00011655 ; 0,0002471 ; 12,45
0,4 ; 25,6 ; 0 ; 0,00013635 ; 0,0001019 ; 0,00023825 ; 12,1
0,45 ; 28,8 ; 0 ; 0,00022015 ; 0,0006042 ; 0,00082435 ; 13,3
0,5 ; 32 ; 0 ; 0,00027555 ; 0,00017335 ; 0,0004489 ; 14,2
0,55 ; 35,2 ; 0 ; 0,00022475 ; 0,00026955 ; 0,0004943 ; 13,7
0,6 ; 38,4 ; 0 ; 0,00028195 ; 0,00026765 ; 0,0005496 ; 14,1
0,65 ; 41,6 ; 0 ; 0,0003672 ; 0,0003585 ; 0,0007257 ; 13,95
0,7 ; 44,8 ; 0 ; 0,0006586 ; 0,0014309 ; 0,0020895 ; 12,6
0,75 ; 48 ; 0 ; 0,0007758 ; 0,0004122 ; 0,001188 ; 12,4
0,8 ; 51,2 ; 0 ; 0,0008534 ; 0,00778775 ; 0,00864115 ; 11,75
0,85 ; 54,4 ; 0 ; 0,0012414 ; 0,0018447 ; 0,0030861 ; 10,35
0,9 ; 57,6 ; 0 ; 0,001479 ; 0,00129375 ; 0,00277275 ; 8,65
0,95 ; 60,8 ; 0 ; 0,00215645 ; 0,0004017 ; 0,00255815 ; 6,75
1 ; 64 ; 0 ; 0,0027097 ; 2,76e-05 ; 0,0027373 ; 1
